Month	Bananas, per lb.	Oranges, Navel, per lb.	Bread, white, pan, per lb.	Tomatoes, field grown, per lb.	Chicken, fresh, whole, per lb.	Electricity per KWH	Eggs, grade A, large, per doz.	Gasoline, unleaded regular, per gallon	Ground chuck, 100% beef, per lb.	Utility (piped) gas per therm	Milk, fresh, whole, fortified, per gal.
09/01/01	0.508		0.996	1.168	1.107	0.097	0.916	1.531	2.15	0.811	2.941
10/01/01	0.503		1.01	1.267	1.115	0.093	0.916	1.362	2.132	0.763	2.954
11/01/01	0.509	0.867	1.012	1.468	1.133	0.09	0.935	1.263	2.143	0.799	2.89
12/01/01	0.505	0.713	1.005	1.404	1.109	0.09	0.925	1.131	2.161	0.787	2.895
01/01/02	0.509	0.715	1.001	1.451	1.091	0.089	0.973	1.139	2.152	0.789	2.812
02/01/02	0.504	0.759	1.008	1.298	1.111	0.089	0.996	1.13	2.214	0.757	2.807
03/01/02	0.519	0.71	1.012	1.292	1.11	0.089	1.003	1.241	2.196	0.755	2.816
04/01/02	0.504	0.751	1.005	1.319	1.11	0.088	1.047	1.407	2.097	0.773	2.779
05/01/02	0.515	0.849	1.012	1.332	1.094	0.089	0.997	1.421	2.145	0.772	2.782
06/01/02	0.512		1.011	1.299	1.066	0.095	0.975	1.404	2.098	0.771	2.768
07/01/02	0.517		1.015	1.243	1.077	0.095	0.99	1.412	2.138	0.772	2.747
08/01/02	0.499		1.012	1.181	1.035	0.095	1.053	1.423	2.175	0.768	2.72
09/01/02	0.498		1.016	1.158	1.074	0.095	1.055	1.422	2.065	0.776	2.728
10/01/02	0.504	1.163	1.015	1.236	1.027	0.091	1.039	1.449	2.116	0.801	2.727
11/01/02	0.505	0.998	1.054	1.43	1.044	0.089	1.08	1.448	2.086	0.843	2.719
12/01/02	0.504	0.742	1.026	1.655	1.048	0.089	1.176	1.394	2.121	0.847	2.682
01/01/03	0.526	0.713	1.042	1.711	1.004	0.089	1.175	1.473	2.131	0.881	2.686
02/01/03	0.508	0.711	1.048	1.565	1.031	0.089	1.189	1.641	2.203	0.902	2.689
03/01/03	0.513	0.728	1.042	1.619	1.049	0.089	1.209	1.748	2.196	1.028	2.656
04/01/03	0.517	0.742	1.047	1.555	1.053	0.091	1.131	1.659	2.206	0.988	2.674
05/01/03	0.505	0.8	1.001	1.401	1.031	0.092	1.009	1.542	2.191	0.966	2.685
06/01/03	0.521	0.875	0.961	1.398	1.033	0.097	1.199	1.514	2.239	0.992	2.676
07/01/03	0.514		1.002	1.46	1.027	0.098	1.15	1.524	2.194	0.986	2.708
08/01/03	0.514		0.996	1.513	1.023	0.098	1.277	1.628	2.22	0.969	2.666
09/01/03	0.494		0.994	1.438	1.022	0.098	1.257	1.728	2.286	0.974	2.904
