State or Territory,District or Representation Type,Family name,Given name,District ,Party ,Office Room ,Phone 
North Carolina,12,Adams,Alma,North Carolina 12th ,D ,2436 RHOB ,(202) 225-1510 
Alabama,4,Aderholt,Robert,Alabama 4th ,R ,266 CHOB ,(202) 225-4876 
California,31,Aguilar,Pete,California 31st ,D ,109 CHOB ,(202) 225-3201 
Georgia,12,Allen,Rick,Georgia 12th ,R ,570 CHOB ,(202) 225-2823 
Texas,32,Allred,Colin,Texas 32nd ,D ,114 CHOB ,(202) 225-2231 
Nevada,2,Amodei,Mark,Nevada 2nd ,R ,104 CHOB ,(202) 225-6155 
North Dakota,At Large,Armstrong,Kelly,North Dakota At Large ,R ,1740 LHOB ,(202) 225-2611 
Texas,19,Arrington,Jodey,Texas 19th ,R ,1107 LHOB ,(202) 225-4005 
Massachusetts,4,Auchincloss,Jake,Massachusetts 4th ,D ,1524 LHOB ,(202) 225-5931 
Iowa,3,Axne,Cynthia,Iowa 3rd ,D ,1034 LHOB ,(202) 225-5476 
Texas,36,Babin,Brian,Texas 36th ,R ,2236 RHOB ,(202) 225-1555 
Nebraska,2,Bacon,Don,Nebraska 2nd ,R ,1024 LHOB ,(202) 225-4155 
Indiana,4,Baird,James,Indiana 4th ,R ,1314 LHOB ,(202) 225-5037 
Ohio,12,Balderson,Troy,Ohio 12th ,R ,2429 RHOB ,(202) 225-5355 
Indiana,3,Banks,Jim,Indiana 3rd ,R ,1713 LHOB ,(202) 225-4436 
Kentucky,6,Barr,Andy,Kentucky 6th ,R ,2430 RHOB ,(202) 225-4706 
California,44,Barragán,Nanette,California 44th ,D ,2246 RHOB ,(202) 225-8220 
California,37,Bass,Karen,California 37th ,D ,2021 RHOB ,(202) 225-7084 
Ohio,3,Beatty,Joyce,Ohio 3rd ,D ,2303 RHOB ,(202) 225-4324 
Oregon,2,Bentz,Cliff,Oregon 2nd ,R ,1239 LHOB ,(202) 225-6730 
California,7,Bera,Ami,California 7th ,D ,172 CHOB ,(202) 225-5716 
Michigan,1,Bergman,Jack,Michigan 1st ,R ,566 CHOB ,(202) 225-4735 
Virginia,8,Beyer,Don,Virginia 8th ,D ,1119 LHOB ,(202) 225-4376 
Oklahoma,5,Bice,Stephanie I.,Oklahoma 5th ,R ,1223 LHOB ,(202) 225-2132 
Arizona,5,Biggs,Andy,Arizona 5th ,R ,171 CHOB ,(202) 225-2635 
Florida,12,Bilirakis,Gus M.,Florida 12th ,R ,2354 RHOB ,(202) 225-5755 
Georgia,2,Bishop Jr.,Sanford D.,Georgia 2nd ,D ,2407 RHOB ,(202) 225-3631 
North Carolina,9,Bishop,Dan,North Carolina 9th ,R ,1207 LHOB ,(202) 225-1976 
Oregon,3,Blumenauer,Earl,Oregon 3rd ,D ,1111 LHOB ,(202) 225-4811 
Delaware,At Large,Blunt Rochester,Lisa,Delaware At Large ,D ,1724 LHOB ,(202) 225-4165 
Colorado,3,Boebert,Lauren,Colorado 3rd ,R ,1609 LHOB ,(202) 225-4761 
Oregon,1,Bonamici,Suzanne,Oregon 1st ,D ,2231 RHOB ,(202) 225-0855 
Illinois,12,Bost,Mike,Illinois 12th ,R ,1211 LHOB ,(202) 225-5661 
Georgia,7,Bourdeaux,Carolyn,Georgia 7th ,D ,1319 LHOB ,(202) 225-4272 
New York,16,Bowman,Jamaal,New York 16th ,D ,1605 LHOB ,(202) 225-2464 
Pennsylvania,2,Boyle,Brendan,Pennsylvania 2nd ,D ,1133 LHOB ,(202) 225-6111 
Texas,8,Brady,Kevin,Texas 8th ,R ,1011 LHOB ,(202) 225-4901 
Alabama,5,Brooks,Mo,Alabama 5th ,R ,2185 RHOB ,(202) 225-4801 
Maryland,4,Brown,Anthony,Maryland 4th ,D ,1323 LHOB ,(202) 225-8699 
California,26,Brownley,Julia,California 26th ,D ,2262 RHOB ,(202) 225-5811 
Florida,16,Buchanan,Vern,Florida 16th ,R ,2110 RHOB ,(202) 225-5015 
Colorado,4,Buck,Ken,Colorado 4th ,R ,2455 RHOB ,(202) 225-4676 
Indiana,8,Bucshon,Larry,Indiana 8th ,R ,2313 RHOB ,(202) 225-4636 
North Carolina,13,Budd,Ted,North Carolina 13th ,R ,103 CHOB ,(202) 225-4531 
Tennessee,2,Burchett,Tim,Tennessee 2nd ,R ,1122 LHOB ,(202) 225-5435 
Texas,26,Burgess,Michael,Texas 26th ,R ,2161 RHOB ,(202) 225-7772 
Missouri,1,Bush,Cori,Missouri 1st ,D ,563 CHOB ,(202) 225-2406 
Illinois,17,Bustos,Cheri,Illinois 17th ,D ,1233 LHOB ,(202) 225-5905 
North Carolina,1,Butterfield,G.K.,North Carolina 1st ,D ,2080 RHOB ,(202) 225-3101 
California,42,Calvert,Ken,California 42nd ,R ,2205 RHOB ,(202) 225-1986 
Florida,3,Cammack,Kat,Florida 3rd ,R ,1626 LHOB ,(202) 225-5744 
California,24,Carbajal,Salud,California 24th ,D ,2331 RHOB ,(202) 225-3601 
California,29,Cárdenas,Tony,California 29th ,D ,2438 RHOB ,(202) 225-6131 
Alabama,1,Carl,Jerry L.,Alabama 1st ,R ,1330 LHOB ,(202) 225-4931 
Indiana,7,Carson,André,Indiana 7th ,D ,2135 RHOB ,(202) 225-4011 
Georgia,1,Carter,Buddy,Georgia 1st ,R ,2432 RHOB ,(202) 225-5831 
Texas,31,Carter,John,Texas 31st ,R ,2208 RHOB ,(202) 225-3864 
Louisiana,2,Carter,Troy A.,Louisiana 2nd ,D ,506 CHOB ,(202) 225-6636 
Pennsylvania,8,Cartwright,Matt,Pennsylvania 8th ,D ,2102 RHOB ,(202) 225-5546 
Hawaii,1,Case,Ed,Hawaii 1st ,D ,2210 RHOB ,(202) 225-2726 
Illinois,6,Casten,Sean,Illinois 6th ,D ,2440 RHOB ,(202) 225-4561 
Florida,14,Castor,Kathy,Florida 14th ,D ,2052 RHOB ,(202) 225-3376 
Texas,20,Castro,Joaquin,Texas 20th ,D ,2241 RHOB ,(202) 225-3236 
